               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11435,            0.033441,                   0,                   0,                   0,                   0,                   0,             0.10609,             0.03095,                   0,              0.0847,              0.0017,              0.0017
                   1,             0.10973,            0.034786,                   0,                   0,                   0,                   0,                   0,             0.10286,            0.031074,                   0,            0.068488,           0.0034885,           0.0034885
                   2,             0.10783,            0.033695,                   0,                   0,                   0,                   0,                   0,              0.1002,            0.031085,                   0,            0.052265,            0.005265,            0.005265
                   3,             0.10267,            0.034105,                   0,                   0,                   0,                   0,                   0,            0.095959,            0.032056,                   0,             0.03603,           0.0070297,           0.0070297
                   4,             0.10231,            0.034291,                   0,                   0,                   0,                   0,                   0,             0.11793,             0.02701,                   0,            0.019783,           0.0087825,           0.0087825
                   5,             0.10017,             0.03562,                   0,           0.0027562,            0.058824,          0.00030153,          0.00011795,             0.13237,             0.10261,                   0,            0.009835,            0.009835,            0.009835
                   6,            0.096108,             0.03669,                   0,           0.0019624,             0.10714,           0.0010672,          0.00024423,             0.13341,             0.12336,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.096879,              0.0336,                   0,           0.0019548,            0.025641,          0.00071389,          0.00016657,             0.13366,            0.091891,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.09557,            0.034697,                   0,          0.00070175,             0.13333,          0.00043207,          0.00012318,             0.13434,            0.091128,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.095039,            0.034829,                   0,          0.00041667,               0.075,          0.00024243,          6.1737e-05,             0.13806,             0.04616,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.095359,            0.034804,                   0,          0.00057979,             0.10256,          0.00045163,          9.7657e-05,             0.13506,            0.018664,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.092829,            0.035193,                   0,           0.0013636,                0.25,           0.0036718,          0.00079549,             0.12205,            0.017572,                   0,             0.00967,             0.00967,             0.00967
                  12,              0.0892,            0.034779,                   0,           0.0044925,            0.025641,           0.0031767,          0.00076308,             0.11912,            0.019322,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.088891,            0.034413,                   0,            0.068272,                0.05,            0.020844,           0.0051761,             0.11167,             0.02106,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.086503,            0.035274,                   0,            0.066962,             0.13043,            0.023893,           0.0050025,             0.10548,            0.023952,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.087916,            0.031284,                   0,            0.021013,             0.28571,            0.012914,           0.0036084,             0.10542,            0.024663,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.088426,            0.032859,                   0,            0.011482,            0.026316,            0.016744,           0.0045362,             0.10386,            0.022442,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.082695,            0.033524,                   0,            0.049638,             0.46429,            0.032199,             0.00811,            0.099359,            0.023002,                   0,            0.009472,            0.009472,            0.009472
